source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2010,77,33,23,21,539364.00,572349.00,2076043.00
2011,72,41,16,15,646411.00,397940.00,1031194.36
2012,62,30,16,16,427806.00,398175.00,6025960.60
2013,39,20,12,7,307241.00,298288.00,408180.99
2014,66,25,19,22,437350.00,473754.00,1805615.00
2015,52,26,5,21,429967.00,123226.00,2306707.98
2016,51,30,5,16,491837.15,124410.37,1371395.31
2017,82,36,19,27,573903.19,471988.24,3499416.47
2018,81,35,8,38,553776.22,198961.45,4998224.99
2019,90,38,5,47,570952.14,124141.61,8223950.77
