source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2016,129,69,60,1313224.41,30411931.03
2017,231,122,109,2379936.99,192109459.43
2018,407,140,267,2681781.84,84765199.90
2019,337,139,198,2457489.07,124107220.43
