source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2016,129,50,20,59,841537.11,496687.30,30386931.03
2017,231,85,39,107,1466465.72,964340.65,192058590.05
2018,407,99,43,265,1669052.12,1062960.98,84714968.64
2019,337,117,29,191,1914128.11,719599.27,123930982.12
