owner_acronym,sum_effective_value
pspc,81553194.74
esdc,76221971.85
dnd,59757457.96
ssc,47660485.84
rcmp,42477294.65
cbsa,32847527.76
tc,29083590.17
gac,19287320.68
hc,15615451.35
cer,13160818.75
ic,10949597.15
tbs,8162633.19
phac,7860084.28
inac,7357452.70
dfo,6691844.92
agr,6408543.39
cra,5085446.75
ircc,4607920.12
stats,3996204.77
cnsc,3773821.92
pc,2075205.53
nrcan,1711136.04
osgg,1596896.23
psc,1289605.47
elections,1199142.53
lac,1160833.02
just,1093711.41
csps,845443.40
cfia,768000.91
ec,660623.38
pch,625158.67
fin,561426.96
irb,327245.81
pco,263028.68
cihr,237681.00
osfi,218869.11
iaac,150224.41
ocl,48953.73
infra,44288.31
ps,19687.50
atssc,18034.80
crtc,14637.00
fja,11550.00
