owner_acronym,total_entries,total_contracts,total_amendments
ircc,63,19,44
pptc,23,7,16
gac,13,5,8
dnd,10,4,6
tc,8,4,4
ec,4,1,3
inac,2,2,0
rcmp,2,1,1
isc,1,1,0
nrcan,1,1,0
